,Independent_features,MPG
0,"[3.0,2124.0,90.0,13.5,70.0,73.0]",18.0
1,"[3.0,2330.0,97.0,13.5,70.0,72.0]",19.0
2,"[3.0,2720.0,110.0,13.5,80.0,77.0]",21.5
3,"[4.0,1649.0,52.0,16.5,76.0,74.0]",31.0
4,"[4.0,1760.0,60.0,16.1,81.0,81.0]",35.1
5,"[4.0,1937.0,70.0,14.2,90.0,76.0]",29.0
6,"[4.0,1975.0,65.0,19.4,85.0,81.0]",37.0
7,"[4.0,1980.0,74.0,15.3,105.0,82.0]",36.0
8,"[4.0,1985.0,48.0,21.5,90.0,78.0]",43.1
9,"[4.0,1985.0,68.0,16.0,91.0,81.0]",34.1
10,"[4.0,2074.0,70.0,19.5,79.0,71.0]",30.0
11,"[4.0,2085.0,48.0,21.7,90.0,80.0]",44.3
12,"[4.0,2125.0,63.0,14.7,105.0,82.0]",38.0
13,"[4.0,2125.0,70.0,17.3,98.0,82.0]",36.0
14,"[4.0,2130.0,52.0,24.6,97.0,82.0]",44.0
15,"[4.0,2130.0,88.0,14.5,97.0,70.0]",27.0
16,"[4.0,2135.0,68.0,16.6,98.0,78.0]",29.5
17,"[4.0,2155.0,68.0,16.5,98.0,78.0]",30.0
18,"[4.0,2155.0,80.0,14.8,111.0,77.0]",30.0
19,"[4.0,2160.0,88.0,14.5,120.0,82.0]",36.0
20,"[4.0,2205.0,75.0,14.5,107.0,82.0]",36.0
21,"[4.0,2210.0,75.0,14.4,107.0,81.0]",33.7
22,"[4.0,2215.0,63.0,14.9,105.0,81.0]",34.7
23,"[4.0,2219.0,83.0,16.5,98.0,74.0]",29.0
24,"[4.0,2278.0,95.0,15.5,113.0,72.0]",24.0
25,"[4.0,2295.0,84.0,11.6,135.0,82.0]",32.0
26,"[4.0,2300.0,97.0,14.7,119.0,78.0]",27.2
27,"[4.0,2372.0,95.0,15.0,113.0,70.0]",24.0
28,"[4.0,2464.0,86.0,15.5,107.0,76.0]",28.0
29,"[4.0,2500.0,88.0,15.1,122.0,80.0]",35.0
30,"[4.0,2506.0,97.0,14.5,120.0,72.0]",23.0
31,"[4.0,2542.0,75.0,17.0,140.0,74.0]",25.0
32,"[4.0,2545.0,97.0,17.0,119.0,75.0]",24.0
33,"[4.0,2575.0,85.0,16.2,112.0,82.0]",31.0
34,"[4.0,2600.0,110.0,12.8,121.0,77.0]",21.5
35,"[4.0,2625.0,79.0,18.6,120.0,82.0]",28.0
36,"[4.0,2660.0,110.0,14.0,121.0,73.0]",24.0
37,"[4.0,2665.0,96.0,13.9,144.0,82.0]",32.0
38,"[4.0,2671.0,115.0,13.5,121.0,75.0]",25.0
39,"[4.0,2790.0,86.0,15.6,140.0,82.0]",27.0
40,"[4.0,2865.0,92.0,16.4,140.0,82.0]",24.0
41,"[4.0,2870.0,88.0,18.1,140.0,80.0]",26.4
42,"[4.0,3035.0,80.0,20.5,151.0,82.0]",23.0
43,"[5.0,3530.0,77.0,20.1,183.0,79.0]",25.4
44,"[6.0,2833.0,95.0,15.5,198.0,70.0]",22.0
45,"[6.0,2835.0,112.0,14.7,232.0,82.0]",22.0
46,"[6.0,2875.0,80.0,17.0,200.0,74.0]",21.0
47,"[6.0,2900.0,116.0,12.6,168.0,81.0]",25.4
48,"[6.0,2901.0,100.0,16.0,232.0,74.0]",19.0
49,"[6.0,2914.0,100.0,16.0,232.0,75.0]",20.0
50,"[6.0,2930.0,108.0,15.5,156.0,76.0]",19.0
51,"[6.0,2945.0,110.0,16.4,181.0,82.0]",25.0
52,"[6.0,3039.0,110.0,15.0,231.0,75.0]",21.0
53,"[6.0,3060.0,88.0,17.1,200.0,81.0]",20.2
54,"[6.0,3102.0,95.0,16.5,198.0,74.0]",20.0
55,"[6.0,3121.0,105.0,16.5,225.0,73.0]",18.0
56,"[6.0,3139.0,88.0,14.5,250.0,71.0]",18.0
57,"[6.0,3155.0,95.0,18.2,200.0,78.0]",20.5
58,"[6.0,3282.0,100.0,15.0,250.0,71.0]",19.0
59,"[6.0,3381.0,90.0,18.7,225.0,80.0]",19.1
60,"[6.0,3410.0,120.0,15.1,258.0,78.0]",18.1
61,"[6.0,3574.0,78.0,21.0,250.0,76.0]",18.0
62,"[6.0,3645.0,110.0,16.2,250.0,76.0]",18.5
63,"[6.0,3785.0,95.0,19.0,225.0,75.0]",18.0
64,"[6.0,3820.0,120.0,16.7,168.0,76.0]",16.5
65,"[8.0,3205.0,139.0,11.2,302.0,78.0]",18.1
66,"[8.0,3563.0,170.0,10.0,383.0,70.0]",15.0
67,"[8.0,3605.0,125.0,15.0,267.0,79.0]",19.2
68,"[8.0,3664.0,180.0,11.0,350.0,73.0]",11.0
69,"[8.0,3693.0,165.0,11.5,350.0,70.0]",15.0
70,"[8.0,3725.0,129.0,13.4,302.0,79.0]",17.6
71,"[8.0,3840.0,130.0,15.4,305.0,79.0]",17.0
72,"[8.0,3870.0,130.0,15.0,302.0,76.0]",13.0
73,"[8.0,4141.0,140.0,14.0,302.0,74.0]",16.0
74,"[8.0,4220.0,180.0,11.1,400.0,77.0]",16.0
75,"[8.0,4294.0,140.0,16.0,302.0,72.0]",13.0
76,"[8.0,4312.0,215.0,8.5,440.0,70.0]",14.0
77,"[8.0,4325.0,190.0,12.2,400.0,77.0]",15.5
78,"[8.0,4335.0,149.0,14.5,351.0,77.0]",16.0
79,"[8.0,4341.0,198.0,10.0,429.0,70.0]",15.0
80,"[8.0,4354.0,220.0,9.0,454.0,70.0]",14.0
81,"[8.0,4360.0,155.0,14.9,350.0,79.0]",16.9
82,"[8.0,4380.0,180.0,12.1,350.0,76.0]",16.5
83,"[8.0,4456.0,160.0,13.5,350.0,72.0]",12.0
84,"[8.0,4457.0,150.0,13.5,318.0,74.0]",14.0
85,"[8.0,4638.0,140.0,16.0,302.0,74.0]",14.0
86,"[8.0,4746.0,170.0,12.0,400.0,71.0]",13.0
87,"[8.0,4997.0,150.0,14.0,400.0,73.0]",11.0
